id,title,lang,phoneme,personAltLabel,personDescription,birth,death,age
http://www.wikidata.org/entity/Q633648,מירון ברנובסקי-מובילה@he,he,miron bʁnobsqimvbila,,מנסיכי מולדובה,1590-01-01,1633-07-02,43
http://www.wikidata.org/entity/Q644425,פרנץ פון מרסי@he,he,fʁnts fon mrsi,,,1590-01-01,1645-08-03,55
http://www.wikidata.org/entity/Q725222,"יעקב, קיסר אתיופיה@he",he,jʔqb qisʁ ʔtiofia,יעקב קיסר אתיופיה,,1590-01-01,1607-03-10,17
http://www.wikidata.org/entity/Q796748,סמוסט@he,he,smost,,,1590-01-01,1653-01-01,63
http://www.wikidata.org/entity/Q317920,סימון וואה@he,he,simon voa,,צייר צרפתי,1590-01-08,1649-06-30,59
http://www.wikidata.org/entity/Q114749,אהמט הראשון@he,he,ʔhmt hrʔʃon,,סולטאן עות'מאני,1590-04-18,1617-11-22,27
http://www.wikidata.org/entity/Q2673314,יעקב סובייסקי@he,he,jʔqb sobiisqi,,,1590-05-05,1646-06-23,56
http://www.wikidata.org/entity/Q571404,"יוהאן אלברכט השני, דוכס מקלנבורג-גיסטרוב@he",he,johʔn ʔlbʁχt hʃni doχs mklnborɡɡistrvb,,,1590-05-05,1636-04-23,46
http://www.wikidata.org/entity/Q312297,"קוזימו השני דה מדיצ'י, הדוכס הגדול של טוסקנה@he",he,qozimo hʃni da mditsi hdoχs hɡdol ʃl tosqna,,,1590-05-12,1621-02-28,31
http://www.wikidata.org/entity/Q88853,יוהאן לודוויג מנסאו-הדאמאר@he,he,johʔn lodoiɡ mnsaohdʔmʔr,,,1590-08-06,1653-03-10,63
http://www.wikidata.org/entity/Q105199,יוהאן מתאוס מייפארט@he,he,johʔn mtaos miifʔʁt,,תאולוג ומחבר גרמני,1590-11-09,1642-01-26,52
http://www.wikidata.org/entity/Q11769043,מריה מובילה@he,he,mria movila,מריה מוהילנקה,אצילה מולדבית-פולניה (1638-1591),1591-01-01,1638-01-01,47
http://www.wikidata.org/entity/Q330721,רוברט דאונלנד@he,he,rovʁt daonlnd,,מלחין אנגלי,1591-01-01,1641-12-08,50
http://www.wikidata.org/entity/Q11608,אן הצ'ינסון@he,he,ʔn htsinson,,מתיישבת פוריטנית,1591-01-01,1643-01-01,52
http://www.wikidata.org/entity/Q63850,יוהאן פון וורת@he,he,johʔn fon vrt,,,1591-01-01,1652-09-12,61
http://www.wikidata.org/entity/Q1337275,ולנטין דה בולון@he,he,vlntin da bolon,,צייר צרפתי,1591-01-03,1632-08-19,41
http://www.wikidata.org/entity/Q4020155,"ויליאם ספנסר, ברון ספנסר השני מוורמלייטון@he",he,viliʔm sfnsʁ bron sfnsʁ hʃni mvomliiton,,,1591-01-04,1636-12-19,45
http://www.wikidata.org/entity/Q2701696,רוברט דברו@he,he,rovʁt dbro,,,1591-01-11,1646-09-14,55
http://www.wikidata.org/entity/Q297838,ג'וזפה דה ריברה@he,he,ɡozfa da rivʁa,,אמן ספרדי,1591-01-12,1652-09-03,61
http://www.wikidata.org/entity/Q77283,פרידריך שפה@he,he,fʁidriχ ʃfa,,סופר ומשורר גרמני,1591-02-25,1635-08-09,44
http://www.wikidata.org/entity/Q2375184,"איזבלה, נסיכת סבויה@he",he,ʔizvlh nsiχt svoia,,,1591-03-02,1626-08-22,35
http://www.wikidata.org/entity/Q174798,מוסטפא הראשון@he,he,mostfʔ hrʔʃon,מצטפא הראשון,סולטאן עות'מאני,1591-06-24,1639-01-20,48
http://www.wikidata.org/entity/Q264361,מרגריטה גונזאגה@he,he,mʁɡrita ɡonzʔɡa,,,1591-10-02,1632-02-06,41
http://www.wikidata.org/entity/Q603352,"אלפונסו השלישי ד'אסטה, דוכס מודנה@he",he,ʔlfonso hʃliʃi dʔsth doχs modna,,,1591-10-22,1644-05-24,53
http://www.wikidata.org/entity/Q15121372,ביטריקס ואן דר לין@he,he,bitriks wʔn dʁ lin,,רעיתו של איזק מאסה,1592-01-01,1639-01-01,47
http://www.wikidata.org/entity/Q143433,קטלינה דה אראוסו@he,he,ktlina da ʔraoso,,סופרת ספרדייה,1592-02-10,1650-01-01,58
http://www.wikidata.org/entity/Q741666,קלאס פלמינג@he,he,qlʔs flmiŋ,,,1592-03-01,1644-07-26,52
http://www.wikidata.org/entity/Q460124,ז'אק קאלו@he,he,zʔk qʔlo,,מדפיס ומאייר מתקופת הבארוק (1592–1635) מדוכסות לורן.,1592-03-25,1635-03-24,43
http://www.wikidata.org/entity/Q57403,וילהלם שיקארד@he,he,vilhlm ʃiqʔrd,,,1592-04-22,1635-10-23,43
http://www.wikidata.org/entity/Q313817,"ג'ורג' וילרס, הדוכס הראשון מבקינגהם@he",he,ɡvʁɡ vilrs hdoχs hrʔʃon mbkiŋhm,,"אציל אנגלי, מפקד הצי, יועץ מלכותי ושר החוץ באנגליה של המאות ה-16 וה-17",1592-08-28,1628-08-23,36
http://www.wikidata.org/entity/Q296367,"הואנג טאיג'י, קיסר צ'ינג@he",he,hoʔŋ tʔiɡi qisʁ tsiŋ,,דה פקטו קיסר סין לאורך מלחמות צ'ינג-מינג בהם הוא שימש דמות מפתח לניצחון מאנצ'ורי מלא על כלל סין כנגד שושלת מינג העוינת,1592-11-28,1643-09-21,51
http://www.wikidata.org/entity/Q1771129,הסולטן אגונג האניוקרוקוסומה@he,he,hsoltn ʔɡoŋ hʔniokroqosoma,,,1593-01-01,1645-01-01,52
http://www.wikidata.org/entity/Q380415,אנטוני ואן דימן@he,he,ʔntoni wʔn dimn,,,1593-01-01,1645-04-19,52
http://www.wikidata.org/entity/Q96091263,וולטר ראלי@he,he,vltr ʁʔli,,,1593-01-01,1617-01-01,24
http://www.wikidata.org/entity/Q82631,"הנרי פרדריק, נסיך ויילס@he",he,hnri frdriq nsiχ wiils,,מנסיכי ויילס,1593-02-19,1612-11-06,19
http://www.wikidata.org/entity/Q3440414,"הנרי דה ויר, רוזן אוקספורד השמונה עשר@he",he,hnri da wiʁ rozn aoksfoʁd hʃmona ʕʃʁ,,אציל אנגלי,1593-02-24,1625-06-01,32
http://www.wikidata.org/entity/Q203371,ז'ורז' דה לה טור@he,he,zvʁz da la toʁ,,צייר צרפתי,1593-03-13,1652-01-30,59
http://www.wikidata.org/entity/Q445441,יוהאן אולריך שטייגלדר@he,he,johʔn aolriχ ʃtiiɡldr,יוהן אולריך שטייגלדר,מלחין גרמני,1593-03-22,1635-10-10,42
http://www.wikidata.org/entity/Q317887,ג'ורג' הרברט@he,he,ɡvʁɡ hʁbʁt,,,1593-04-03,1633-03-01,40
http://www.wikidata.org/entity/Q231693,מומתאז-מהאל@he,he,momtʔzmhʔl,,,1593-04-27,1631-06-17,38
http://www.wikidata.org/entity/Q503196,ג'רג' ראקוצי הראשון@he,he,ɡrɡ rʔqotsi hrʔʃon,ג'יירג' ראקוצי הראשון,נסיך טרנסילבניה משנת 1630 ועד מותו בשנת 1648.,1593-06-08,1648-10-11,55
http://www.wikidata.org/entity/Q212657,ארטמיזיה ג'נטילסקי@he,he,ʔrtmizia ɡntilski,ארטמיסיה ג'נטילסקי,ציירת איטלקייה,1593-07-08,1653-01-01,60
http://www.wikidata.org/entity/Q57968,מתיאוס מריאן@he,he,mtiaos mʁiʔn,,,1593-09-22,1650-06-19,57
http://www.wikidata.org/entity/Q3634700,ברברה מווירטמברג@he,he,bʁvʁa mvirtmbrɡ,,,1593-12-04,1627-05-18,34
http://www.wikidata.org/entity/Q1127911,קונסטנטין מובילה@he,he,konstntin movila,,"שליט נסיכות מולדובה (1607, 1611-1607)",1594-01-01,1612-07-01,18
http://www.wikidata.org/entity/Q337583,שבדרונג נגוואנג נמגיאל@he,he,ʃvdʁoŋ ŋvʔŋ nmɡiʔl,,,1594-01-01,1651-01-01,57
http://www.wikidata.org/entity/Q69449,"יוהאן ארנסט הראשון, דוכס סקסוניה-ויימאר@he",he,johʔn ʔʁnst hrʔʃon doχs sqsonihviimʔr,,,1594-02-21,1626-12-06,32
http://www.wikidata.org/entity/Q1288242,טומאש זמויסקי@he,he,tomʔʃ zmoiski,,,1594-04-01,1638-01-08,44
http://www.wikidata.org/entity/Q260837,שרלוט מרגריט דה מונמורנסי@he,he,ʃʁlot mʁɡrit da monmoʁnsi,,,1594-05-11,1650-12-02,56
http://www.wikidata.org/entity/Q61869,גוטפריד היינריך פון פפנהיים@he,he,ɡotfrid hiinriχ fon ffnhiim,,קצין גרמני,1594-05-29,1632-11-17,38
http://www.wikidata.org/entity/Q52938,"גוסטב השני אדולף, מלך שוודיה@he",he,ɡostv hʃni ʔdolf mlχ ʃvoia,גוסטב אדולף הגדול,מלך שוודיה בין השנים 1611-1632,1594-12-19,1632-11-16,38
http://www.wikidata.org/entity/Q1252543,ז'יגמונד ראקוצי@he,he,ziɡmvnd rʔqotsi,,"בנו השני של ז'יגמונד ראקוצי, נסיך טרנסילבניה",1595-01-01,1620-12-26,25
http://www.wikidata.org/entity/Q1356033,ג'ובאני בטיסטה בואונמנטה@he,he,ɡvbʔni btista boaonmnta,,מלחין איטלקי,1595-01-01,1642-08-29,47
http://www.wikidata.org/entity/Q262513,ג'ון פלטון@he,he,ɡvn flton,,,1595-01-01,1628-10-29,33
http://www.wikidata.org/entity/Q28054412,דל-אראם ח'אנום@he,he,dlʔʁʔm ħʔnom,,,1595-01-01,1647-01-15,52
http://www.wikidata.org/entity/Q380708,דירק ואן באבורן@he,he,dirq wʔn bʔborn,,צייר הולנדי,1595-01-01,1624-02-21,29
http://www.wikidata.org/entity/Q2739207,ג'ובאני בטיסטה דוני@he,he,ɡvbʔni btista doni,,,1595-03-13,1647-12-01,52
http://www.wikidata.org/entity/Q714362,אנרי השני דה מונמורנסי@he,he,ʔnri hʃni da monmoʁnsi,,,1595-04-30,1632-10-30,37
http://www.wikidata.org/entity/Q54054,ולאדיסלאב הרביעי@he,he,wlʔdislʔv hrviʕi,,מלך פולין,1595-06-09,1648-05-20,53
http://www.wikidata.org/entity/Q381425,הרגובינד@he,he,hrɡovind,,,1595-07-05,1644-03-19,49
http://www.wikidata.org/entity/Q548301,אלברט ג'ירארד@he,he,ʔlbʁt ɡirʔʁd,,מתמטיקאי צרפתי,1595-10-11,1632-12-08,37
http://www.wikidata.org/entity/Q166675,"גאורג וילהלם, הנסיך הבוחר מברנדנבורג@he",he,ɡaoʁɡ vilhlm hnsiχ hboχʁ mvrndnboʁɡ,,דוכס פרוסיה,1595-11-13,1640-12-01,45
http://www.wikidata.org/entity/Q55340044,מגדלנה מנסאו-דילנבורג@he,he,mɡdlna mnsaodilnbvrɡ,,,1595-11-13,1633-07-31,38
http://www.wikidata.org/entity/Q1252541,פאל ראקוצי@he,he,fʔl rʔqotsi,,"בנו השלישי של ז'יגמונד ראקוצי, נסיך טרנסילבניה",1596-01-01,1636-03-12,40
http://www.wikidata.org/entity/Q193406,פוקהונטס@he,he,fokhonts,,בת אצולה אינדיאנית,1596-01-01,1617-03-01,21
http://www.wikidata.org/entity/Q9191,רנה דקארט@he,he,ʁna dkʔʁt,"דיקרט, רנה",פילוסוף צרפתי,1596-03-31,1650-02-11,54
http://www.wikidata.org/entity/Q9015490,חואן פלקוני דה בוסטמנטה@he,he,ħoʔn flkoni da bostmnta,,,1596-04-01,1638-05-31,42
http://www.wikidata.org/entity/Q2903694,מישל פארטיצ'לי ד'אמרי@he,he,miʃl fʔʁtitsli dʔmri,,פוליטיקאי צרפתי,1596-06-06,1650-05-25,54
http://www.wikidata.org/entity/Q498046,יוהאן באנר@he,he,johʔn bʔnʁ,,גנרל שוודי,1596-06-23,1641-05-10,45
http://www.wikidata.org/entity/Q181915,"מיכאיל הראשון, צאר רוסיה@he",he,miχʔil hrʔʃon tsʔr rosia,מיכאיל הראשון,,1596-07-22,1645-07-23,49
http://www.wikidata.org/entity/Q57195,"פרידריך החמישי, הנסיך הבוחר מפפאלץ@he",he,fʁidriχ hχmiʃi hnsiχ hboχʁ mffʔlts,,,1596-08-26,1632-11-29,36
http://www.wikidata.org/entity/Q567959,פטרו מוהילה@he,he,ftro mohila,,,1596-12-31,1647-01-01,51
http://www.wikidata.org/entity/Q144430,ווילם קיפט@he,he,vilm kift,,,1597-01-01,1647-09-27,50
http://www.wikidata.org/entity/Q472714,לואיג'י רוסי@he,he,loʔiɡi ʁosi,,מלחין איטלקי,1597-01-01,1653-02-20,56
http://www.wikidata.org/entity/Q960381,פרנסואה דוקסנוי@he,he,frnsoʔa doksnoi,,פסל בלגי,1597-01-12,1643-07-12,46
http://www.wikidata.org/entity/Q569335,"יוהאן פיליפ, דוכס סקסוניה-אלטנבורג@he",he,johʔn filif doχs sksonihʔltnborɡ,,,1597-01-25,1639-04-01,42
http://www.wikidata.org/entity/Q918364,ז'אן פרנסואה רז'י@he,he,zʔn frnsoʔa rzi,,פרסביטר צרפתי,1597-01-31,1640-12-31,43
http://www.wikidata.org/entity/Q2303634,תאודור רומבוץ@he,he,taodoʁ romvots,,צייר פלמי,1597-07-02,1637-09-14,40
http://www.wikidata.org/entity/Q375733,וירג'יליו מאצוקי@he,he,viʁɡiliv mʔtsvki,,מלחין איטלקי,1597-07-22,1646-10-03,49
http://www.wikidata.org/entity/Q60946,מרטין אופיץ@he,he,mrtin aofits,,משורר גרמני,1597-12-23,1639-08-20,42
