,id,title,var_entries,langs,appellation,acronym,qualifier,alternative-name,teknonym,salutation,matronymic,professional-name,honorific,given-name,middle-name,patronymic,surname,primary-name,nisba,name_parts
1388,1388,naadyaa (gvd`vvytsh) maashkaavvytsh,"[{'var': 'naadyaa (gvd`vvytsh) maashkaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,גוּדעוויטש,,,,,,,,,מאָשקאָוויטש,נאַדיאַ,,"{""name_part_0"": ""naadyaa"", ""name_part_1"": ""(gvd`vvytsh)"", ""name_part_2"": ""maashkaavvytsh""}"
1389,1389,paashaa (baasyaa?) maashkaavvytsh,"[{'var': 'paashaa (baasyaa?) maashkaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,בּאַסיאַ,,,,,,פּאַשאַ,,,מאָשקאָוויטש,,,"{""name_part_0"": ""paashaa"", ""name_part_1"": ""(baasyaa?)"", ""name_part_2"": ""maashkaavvytsh""}"
1390,1390,hnh mgyd,"[{'var': 'hnh mgyd', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,חנה,,,מגיד,,,"{""name_part_0"": ""hnh"", ""name_part_1"": ""mgyd""}"
1391,1391,a. mvkdvny,"[{'var': 'a. mvkdvny', 'src': 'ds', 'lang': 'en'}]",['en'],,א.,,,,,,,,,,,מוּקדוני,,,"{""name_part_0"": ""a."", ""name_part_1"": ""mvkdvny""}"
1392,1392,mvraanaavv`r t`aat`r,"[{'var': 'mvraanaavv`r t`aat`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,טעאַטער,,,,,,מוראנובער,,"{""name_part_0"": ""mvraanaavv`r"", ""name_part_1"": ""t`aat`r""}"
1393,1393,yaasl mvrak,"[{'var': 'yaasl mvrak', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,יאָסל,,,מוראק,,,"{""name_part_0"": ""yaasl"", ""name_part_1"": ""mvrak""}"
1394,1394,hyym aly`zr mvshkaat,"[{'var': 'hyym aly`zr mvshkaat', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,חיים,אליעזר,,מוּשקאַט,,,"{""name_part_0"": ""hyym"", ""name_part_1"": ""aly`zr"", ""name_part_2"": ""mvshkaat""}"
1395,1395,yhvsh` (m. sgl) mzh,"[{'var': 'yhvsh` (m. sgl) mzh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,מ. סגל,,,,,,יהושע,,,מזח,,,"{""name_part_0"": ""yhvsh`"", ""name_part_1"": ""(m."", ""name_part_2"": ""sgl)"", ""name_part_3"": ""mzh""}"
1396,1396,maark myaadaavvnyk,"[{'var': 'maark myaadaavvnyk', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,מאָרק,,,מיאָדאָווניק,מאָרק מיאָדאָווניק,,"{""name_part_0"": ""maark"", ""name_part_1"": ""myaadaavvnyk""}"
1397,1397,shmval (maand`l) mygdaalaavvytsh,"[{'var': 'shmval (maand`l) mygdaalaavvytsh', 'src': 'ds', 'lang': 'en'}]",['en'],,,,מאַנדעל,,,,,,שמוּאל,,,מיגדאַלאָוויטש,,,"{""name_part_0"": ""shmval"", ""name_part_1"": ""(maand`l)"", ""name_part_2"": ""mygdaalaavvytsh""}"
1398,1398,aygnaatsy (mygdaal) mygdaalsky,"[{'var': 'aygnaatsy (mygdaal) mygdaalsky', 'src': 'ds', 'lang': 'en'}]",['en'],,,,מיגדַל,,,,,,איגנאַצי,,,,מיגדאַלסקי,,"{""name_part_0"": ""aygnaatsy"", ""name_part_1"": ""(mygdaal)"", ""name_part_2"": ""mygdaalsky""}"
1399,1399,aadaalp (abrhm) myd`,"[{'var': 'aadaalp (abrhm) myd`', 'src': 'ds', 'lang': 'en'}]",['en'],,,,אברהם,,,,,,אדאלף,,,מידע,,,"{""name_part_0"": ""aadaalp"", ""name_part_1"": ""(abrhm)"", ""name_part_2"": ""myd`""}"
