id,title,name_parts,lang,phoneme,name_part_given-name,name_part_middle-name,name_part_surname,name_part_salutation,name_part_patronymic,name_part_professional-name,name_part_maiden-surname,name_part_nisba,name_part_given-name_phoneme,name_part_middle-name_phoneme,name_part_surname_phoneme,name_part_salutation_phoneme,name_part_patronymic_phoneme,name_part_professional-name_phoneme,name_part_maiden-surname_phoneme,name_part_nisba_phoneme,name_part_alternative-name,name_part_alternative-name_phoneme,name_part_qualifier,name_part_honorific,name_part_qualifier_phoneme,name_part_honorific_phoneme,primary-name,matronymic,teknonym,professional-name,surname,acronym,appellation,nisba,salutation,middle-name,alternative-name,patronymic,honorific,qualifier,given-name,maiden-surname
544,jacob faller,"{""given-name"": ""jacob"", ""surname"": ""faller""}",en,dʒˈækɒb fˈɔːləɜ˞,jacob,,faller,,,,,,dʒˈækɒb,,fˈɔːləɜ˞,,,,,,,,,,,,,,,,Faller,,,,,,,,,,Jacob,
545,alexander farbo,"{""given-name"": ""alexander"", ""surname"": ""farbo""}",en,ˈælɪɡ|zˈændəɜ˞ fɑɹbo|ʊ,alexander,,farbo,,,,,,ˈælɪɡ|zˈændəɜ˞,,fɑɹbo|ʊ,,,,,,,,,,,,,,,,Farbo,,,,,,,,,,Alexander,
546,eliezer favir,"{""given-name"": ""eliezer"", ""surname"": ""favir""}",en,ɪlˈiːzəɜ˞ fe|ɪvəɜ˞,eliezer,,favir,,,,,,ɪlˈiːzəɜ˞,,fe|ɪvəɜ˞,,,,,,,,,,,,,,,,Favir,,,,,,,,,,Eliezer,
547,ayzik feder,"{""given-name"": ""ayzik"", ""surname"": ""feder""}",en,ˈeɪzɪk fˈɛdəɜ˞,ayzik,,feder,,,,,,ˈeɪzɪk,,fˈɛdəɜ˞,,,,,,,,,,,,,,,,Feder,,,,,,,,,,Ayzik,
548,moshe feder,"{""given-name"": ""moshe"", ""surname"": ""feder""}",en,mˈɒʃɪ fˈɛdəɜ˞,moshe,,feder,,,,,,mˈɒʃɪ,,fˈɛdəɜ˞,,,,,,,,,,,,,,,,Feder,,,,,,,,,,Moshe,
549,rachel feigenberg,"{""given-name"": ""rachel"", ""surname"": ""feigenberg""}",en,ɻˈeɪɲəl fˈeɪn̩bɜːɡ,rachel,,feigenberg,,,,,,ɻˈeɪɲəl,,fˈeɪn̩bɜːɡ,,,,,,,,,,,,,,,,Feigenberg,,,,,,,,,,Rachel,
550,yehoshua feil,"{""given-name"": ""yehoshua"", ""surname"": ""feil""}",en,juːzwə feɪl,yehoshua,,feil,,,,,,juːzwə,,feɪl,,,,,,,,,,,,,,,,Feil,,,,,,,,,,Yehoshua,
551,dora fein,"{""given-name"": ""dora"", ""surname"": ""fein""}",en,dɔɹə fˈeɪn,dora,,fein,,,,,,dɔɹə,,fˈeɪn,,,,,,,,,,,,,,,,Fein,,,,,,,,,,Dora,
552,ida fein,"{""given-name"": ""ida"", ""surname"": ""fein""}",en,ɪdə fˈeɪn,ida,,fein,,,,,,ɪdə,,fˈeɪn,,,,,,,,,,,,,,,,Fein,,,,,,,,,,Ida,
553,harris feinberg,"{""given-name"": ""harris"", ""surname"": ""feinberg""}",en,hˈæɻɪs fˈeɪnbɜːɡ,harris,,feinberg,,,,,,hˈæɻɪs,,fˈeɪnbɜːɡ,,,,,,,,,,,,,,,,Feinberg,,,,,,,,,,Harris,
554,lili feinman,"{""given-name"": ""lili"", ""surname"": ""feinman""}",en,lˈiːlɪ fˈeɪnmən,lili,,feinman,,,,,,lˈiːlɪ,,fˈeɪnmən,,,,,,,,,,,,,,,,Feinman,,,,,,,,,,Lili,
555,sigmund feinman,"{""given-name"": ""sigmund"", ""surname"": ""feinman""}",en,sɪgmʌnd fˈeɪnmən,sigmund,,feinman,,,,,,sɪgmʌnd,,fˈeɪnmən,,,,,,,,,,,,,,,,Feinman,,,,,,,,,,Sigmund,
556,harry feld,"{""given-name"": ""harry"", ""surname"": ""feld""}",en,hˈæɻɪ fˈɛld,harry,,feld,,,,,,hˈæɻɪ,,fˈɛld,,,,,,,,,,,,,,,,Feld,,,,,,,,,,Harry,
557,aaron feldman,"{""given-name"": ""aaron"", ""surname"": ""feldman""}",en,ɑɹn̩ fˈɛldmən,aaron,,feldman,,,,,,ɑɹn̩,,fˈɛldmən,,,,,,,,,,,,,,,,Feldman,,,,,,,,,,Aaron,
558,feldman,"{""surname"": ""feldman""}",en,fˈɛldmən,,,feldman,,,,,,,,fˈɛldmən,,,,,,,,,,,,,,,,Feldman,,,,,,,,,,,
559,adolf fenigstein,"{""given-name"": ""adolf"", ""surname"": ""fenigstein""}",en,ədˈɒlf fˈɛnɪɡsteɪn,adolf,,fenigstein,,,,,,ədˈɒlf,,fˈɛnɪɡsteɪn,,,,,,,,,,,,,,,,Fenigstein,,,,,,,,,,Adolf,
560,ignats ferkauf,"{""given-name"": ""ignats"", ""surname"": ""ferkauf""}",en,ˈɪɡnəts fˈɜːkˈəʊ,ignats,,ferkauf,,,,,,ˈɪɡnəts,,fˈɜːkˈəʊ,,,,,,,,,,,,,,,,Ferkauf,,,,,,,,,,Ignats,
561,sam ferkauf,"{""given-name"": ""sam"", ""surname"": ""ferkauf""}",en,sæm fˈɜːkˈəʊ,sam,,ferkauf,,,,,,sæm,,fˈɜːkˈəʊ,,,,,,,,,,,,,,,,Ferkauf,,,,,,,,,,Sam,
562,shimshon fersht,"{""given-name"": ""shimshon"", ""surname"": ""fersht""}",en,ʃˈɪmʃɒn fˈɜːzt,shimshon,,fersht,,,,,,ʃˈɪmʃɒn,,fˈɜːzt,,,,,,,,,,,,,,,,Fersht,,,,,,,,,,Shimshon,
563,asher feyershteyn,"{""given-name"": ""asher"", ""surname"": ""feyershteyn""}",en,ˈæʃəɜ˞ fˈeɪəʃtɪn,asher,,feyershteyn,,,,,,ˈæʃəɜ˞,,fˈeɪəʃtɪn,,,,,,,,,,,,,,,,Feyershteyn,,,,,,,,,,Asher,
564,leybe feyvishov,"{""given-name"": ""leybe"", ""surname"": ""feyvishov""}",en,lˈeɪb feɪvɪʃɒf,leybe,,feyvishov,,,,,,lˈeɪb,,feɪvɪʃɒf,,,,,,,,,,,,,,,,Feyvishov,,,,,,,,,,Leybe,
565,sore fibich,"{""given-name"": ""sore"", ""surname"": ""fibich""}",en,sɔː* fɪbˈɪɲ,sore,,fibich,,,,,,sɔː*,,fɪbˈɪɲ,,,,,,,,,,,,,,,,Fibich,,,,,,,,,,Sore,
566,moshe fidel,"{""given-name"": ""moshe"", ""surname"": ""fidel""}",en,mˈɒʃɪ fɪdəl,moshe,,fidel,,,,,,mˈɒʃɪ,,fɪdəl,,,,,,,,,,,,,,,,Fidel,,,,,,,,,,Moshe,
567,fidelman,"{""surname"": ""fidelman""}",en,fˈaɪdlmən,,,fidelman,,,,,,,,fˈaɪdlmən,,,,,,,,,,,,,,,,Fidelman,,,,,,,,,,,
568,herman fiedler,"{""given-name"": ""herman"", ""surname"": ""fiedler""}",en,hɜːmən faɪdləɜ˞,herman,,fiedler,,,,,,hɜːmən,,faɪdləɜ˞,,,,,,,,,,,,,,,,Fiedler,,,,,,,,,,Herman,
569,esther field,"{""given-name"": ""esther"", ""surname"": ""field""}",en,ɪsθəɜ˞ fˈiːld,esther,,field,,,,,,ɪsθəɜ˞,,fˈiːld,,,,,,,,,,,,,,,,Field,,,,,,,,,,Esther,
570,shmuel filib,"{""given-name"": ""shmuel"", ""surname"": ""filib""}",en,ʃmj|uːəl fˈɪlɪb,shmuel,,filib,,,,,,ʃmj|uːəl,,fˈɪlɪb,,,,,,,,,,,,,,,,Filib,,,,,,,,,,Shmuel,
571,friedrich filipesko,"{""given-name"": ""friedrich"", ""surname"": ""filipesko""}",en,frɛdrɪtʃ fˈɪlaɪpskəʊ,friedrich,,filipesko,,,,,,frɛdrɪtʃ,,fˈɪlaɪpskəʊ,,,,,,,,,,,,,,,,Filipesko,,,,,,,,,,Friedrich,
572,filipesko,"{""surname"": ""filipesko""}",en,fˈɪlaɪpskəʊ,,,filipesko,,,,,,,,fˈɪlaɪpskəʊ,,,,,,,,,,,,,,,,Filipesko,,,,,,,,,,,
573,janet filipesko,"{""given-name"": ""janet"", ""surname"": ""filipesko""}",en,dʒˈænɪt fˈɪlaɪpskəʊ,janet,,filipesko,,,,,,dʒˈænɪt,,fˈɪlaɪpskəʊ,,,,,,,,,,,,,,,,Filipesko,,,,,,,,,,Janet,
574,filop,"{""given-name"": ""filop""}",en,fˈɪlɒp,filop,,,,,,,,fˈɪlɒp,,,,,,,,,,,,,,,,,,,,,,,,,,,,Filop,
575,aneta finkel,"{""given-name"": ""aneta"", ""surname"": ""finkel""}",en,ˈænɪtə fˈɪŋkl̩,aneta,,finkel,,,,,,ˈænɪtə,,fˈɪŋkl̩,,,,,,,,,,,,,,,,Finkel,,,,,,,,,,Aneta,
576,bella finkel,"{""given-name"": ""bella"", ""surname"": ""finkel""}",en,bˈɛlə fˈɪŋkl̩,bella,,finkel,,,,,,bˈɛlə,,fˈɪŋkl̩,,,,,,,,,,,,,,,,Finkel,,,,,,,,,,Bella,
577,eliezer dovid finkel,"{""given-name"": ""eliezer"", ""middle-name"": ""dovid"", ""surname"": ""finkel""}",en,ɪlˈiːzəɜ˞ dˈɒvɪd fˈɪŋkl̩,eliezer,dovid,finkel,,,,,,ɪlˈiːzəɜ˞,dˈɒvɪd,fˈɪŋkl̩,,,,,,,,,,,,,,,,Finkel,,,,,Dovid,,,,,Eliezer,
578,lucy finkel,"{""given-name"": ""lucy"", ""surname"": ""finkel""}",en,ɫusi fˈɪŋkl̩,lucy,,finkel,,,,,,ɫusi,,fˈɪŋkl̩,,,,,,,,,,,,,,,,Finkel,,,,,,,,,,Lucy,
579,finkel. meir,"{""given-name"": ""meir"", ""surname"": ""finkel""}",en,fˈɪŋkl mɪə*,meir,,finkel,,,,,,mɪə*,,fˈɪŋkl̩,,,,,,,,,,,,,,,,Finkel,,,,,,,,,,Meir,
580,jakob fischer,"{""given-name"": ""jakob"", ""surname"": ""fischer""}",en,dʒˈækəʊb fˈɪsɲəɜ˞,jakob,,fischer,,,,,,dʒˈækəʊb,,fˈɪsɲəɜ˞,,,,,,,,,,,,,,,,Fischer,,,,,,,,,,Jakob,
581,benjamin fishbein,"{""given-name"": ""benjamin"", ""surname"": ""fishbein""}",en,bɪndʒˈæmɪn fˈɪʃbeɪn,benjamin,,fishbein,,,,,,bɪndʒˈæmɪn,,fˈɪʃbeɪn,,,,,,,,,,,,,,,,Fishbein,,,,,,,,,,Benjamin,
