id,title,name_parts,lang,phoneme,name_part_given-name,name_part_middle-name,name_part_surname,name_part_salutation,name_part_patronymic,name_part_professional-name,name_part_maiden-surname,name_part_nisba,name_part_given-name_phoneme,name_part_middle-name_phoneme,name_part_surname_phoneme,name_part_salutation_phoneme,name_part_patronymic_phoneme,name_part_professional-name_phoneme,name_part_maiden-surname_phoneme,name_part_nisba_phoneme,name_part_alternative-name,name_part_alternative-name_phoneme,name_part_qualifier,name_part_honorific,name_part_qualifier_phoneme,name_part_honorific_phoneme,primary-name,matronymic,teknonym,professional-name,surname,acronym,appellation,nisba,salutation,middle-name,alternative-name,patronymic,honorific,qualifier,given-name,maiden-surname
582,yitskhok fishelewitz,"{""given-name"": ""yitskhok"", ""surname"": ""fishelewitz""}",en,jˈɪtskho|ʊk fˈɪʃəlˈuːɪts,yitskhok,,fishelewitz,,,,,,jˈɪtskho|ʊk,,fˈɪʃəlˈuːɪts,,,,,,,,,,,,,,,,Fishelewitz,,,,,,,,,,Yitskhok,
583,efrayim fishl fishelzon,"{""given-name"": ""efrayim"", ""middle-name"": ""fishl"", ""surname"": ""fishelzon""}",en,ɪfɻˈeɪɪm fˈɪʃl fˈɪʃl̩zn̩,efrayim,fishl,fishelzon,,,,,,ɪfɻˈeɪɪm,fˈɪʃl,fˈɪʃl̩zn̩,,,,,,,,,,,,,,,,Fishelzon,,,,,Fishl,,,,,Efrayim,
584,avrom-leyzer fisher,"{""given-name"": ""avrom-leyzer"", ""surname"": ""fisher""}",en,əvɻəmlɛa|ɪzɝ fˈɪʃəɜ˞,avrom-leyzer,,fisher,,,,,,əvɻəmlɛa|ɪzɝ,,fˈɪʃəɜ˞,,,,,,,,,,,,,,,,Fisher,,,,,,,,,,Avrom-Leyzer,
585,herman fisher,"{""given-name"": ""herman"", ""surname"": ""fisher""}",en,hɜːmən fˈɪʃəɜ˞,herman,,fisher,,,,,,hɜːmən,,fˈɪʃəɜ˞,,,,,,,,,,,,,,,,Fisher,,,,,,,,,,Herman,
586,khaye fisher,"{""given-name"": ""khaye"", ""surname"": ""fisher""}",en,kheɪ fˈɪʃəɜ˞,khaye,,fisher,,,,,,kheɪ,,fˈɪʃəɜ˞,,,,,,,,,,,,,,,,Fisher,,,,,,,,,,Khaye,
587,luba fisher,"{""given-name"": ""luba"", ""surname"": ""fisher""}",en,lˈuːbə fˈɪʃəɜ˞,luba,,fisher,,,,,,lˈuːbə,,fˈɪʃəɜ˞,,,,,,,,,,,,,,,,Fisher,,,,,,,,,,Luba,
588,samuel fisher,"{""given-name"": ""samuel"", ""surname"": ""fisher""}",en,sˈæmʊəl fˈɪʃəɜ˞,samuel,,fisher,,,,,,sˈæmʊəl,,fˈɪʃəɜ˞,,,,,,,,,,,,,,,,Fisher,,,,,,,,,,Samuel,
589,berta fishler,"{""given-name"": ""berta"", ""surname"": ""fishler""}",en,bˈɜːtə fˈɪʃləɜ˞,berta,,fishler,,,,,,bˈɜːtə,,fˈɪʃləɜ˞,,,,,,,,,,,,,,,,Fishler,,,,,,,,,,Berta,
590,bernard fishman,"{""given-name"": ""bernard"", ""surname"": ""fishman""}",en,bˈɜːnəd fˈɪʃmən,bernard,,fishman,,,,,,bˈɜːnəd,,fˈɪʃmən,,,,,,,,,,,,,,,,Fishman,,,,,,,,,,Bernard,
591,harry fishman,"{""given-name"": ""harry"", ""surname"": ""fishman""}",en,hˈæɻɪ fˈɪʃmən,harry,,fishman,,,,,,hˈæɻɪ,,fˈɪʃmən,,,,,,,,,,,,,,,,Fishman,,,,,,,,,,Harry,
