id,title,var_entries,langs,appellation,acronym,qualifier,maiden-surname,alternative-name,teknonym,salutation,matronymic,professional-name,honorific,given-name,middle-name,patronymic,surname,primary-name,nisba
153,moses eliezer beilinson,"[{'var': 'moses eliezer beilinson', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Moses,Eliezer,,Beilinson,,
154,simeon bekerman,"[{'var': 'simeon bekerman', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Simeon,,,Bekerman,,
155,max bekler,"[{'var': 'max bekler', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Max,,,Bekler,,
156,morris belavsky,"[{'var': 'morris belavsky', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Morris,,,Belavsky,,
157,anna belegolovska,"[{'var': 'anna belegolovska', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Anna,,,Belegolovska,,
158,nachum belezavski,"[{'var': 'nachum belezavski', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Nachum,,,Belezavski,,
159,adolf bell,"[{'var': 'adolf bell', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Adolf,,,Bell,,
160,tsila bell,"[{'var': 'tsila bell', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Tsila,,,Bell,,
161,bella bellarina,"[{'var': 'bella bellarina', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Bella,,,Bellarina,,
162,hirsh gedalyi bellow,"[{'var': 'hirsh gedalyi bellow', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Hirsh,Gedalyi,,Bellow,,
163,yasha belzer,"[{'var': 'yasha belzer', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Yasha,,,Belzer,,
164,yudl belzer,"[{'var': 'yudl belzer', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Yudl,,,Belzer,,
165,ben-ali,"[{'var': 'ben-ali', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,,,Ben-Ali,,,
166,jacob ben-ami,"[{'var': 'jacob ben-ami', 'src': 'ds', 'lang': 'en'}]",['en'],,,,,,,,,,,Jacob,,Ben-Ami,,,
