id,title,name_parts,var_entries,langs,nisba,alternative-name,patronymic,surname,middle-name,matronymic,honorific,salutation,primary-name,appellation,professional-name,teknonym,acronym,given-name,qualifier
847,h`rsh vvyysmaan,"{""primary-name"": ""h`rsh vvyysmaan"", ""surname"": ""vvyysmaan""}","[{'var': 'h`rsh vvyysmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווייסמאַן,,,,,הערש ווייסמאַן,,,,,,
848,maarys vvyysmaan,"{""given-name"": ""maarys"", ""surname"": ""vvyysman""}","[{'var': 'maarys vvyysmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווייסמאן,,,,,,,,,,מאָריס,
849,ravbn vvyysmaan,"{""given-name"": ""ravbn"", ""surname"": ""vvyysmaan""}","[{'var': 'ravbn vvyysmaan', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווייסמאַן,,,,,,,,,,ראובן,
850,ytshk-mayr vvyys`nb`rg,"{""given-name"": ""ytshk-mayr"", ""surname"": ""vvyys`nb`rg""}","[{'var': 'ytshk-mayr vvyys`nb`rg', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווייסענבּערג,,,,,,,,,,יצחק-מאיר,
851,vvyln`r trvp`,"{""primary-name"": ""vvyln`r trvp`"", ""given-name"": ""trvp`"", ""surname"": ""vvyln`r""}","[{'var': 'vvyln`r trvp`', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווילנער,,,,,ווילנער טרופּע,,,,,טרופּע,
852,maaks vvyln`r,"{""primary-name"": ""maaks vvyln`r"", ""given-name"": ""maaks"", ""surname"": ""vvyln`r""}","[{'var': 'maaks vvyln`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווילנער,,,,,מאַקס ווילנער,,,,,מאַקס,
853,maaks vvyln`r,"{""given-name"": ""maaks"", ""surname"": ""vvyln`r""}","[{'var': 'maaks vvyln`r', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווילנער,,,,,,,,,,מאַקס,
854,b`rnaard vvyl`nsky,"{""given-name"": ""b`rnaard"", ""surname"": ""vvyl`nsky""}","[{'var': 'b`rnaard vvyl`nsky', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווילענסקי,,,,,,,,,,בערנאַרד,
855,yvlyaan vvyl`nsky,"{""primary-name"": ""yvlyaan vvyl`nsky"", ""given-name"": ""yvlyaan"", ""surname"": ""vvyl`nsky""}","[{'var': 'yvlyaan vvyl`nsky', 'src': 'ds', 'lang': 'en'}]",['en'],,,,ווילענסקי,,,,,יוליאַן ווילענסקי,,,,,יוליאַן,
856,myykl (mykhal) vvyl`nsky,"{""given-name"": ""mykhal"", ""alternative-name"": ""myykl"", ""surname"": ""vvyl`nsky""}","[{'var': 'myykl (mykhal) vvyl`nsky', 'src': 'ds', 'lang': 'en'}]",['en'],,מייקל,,ווילענסקי,,,,,,,,,,מיכאל,
857,m`ry (mrym kats) vvyl`nsky,"{""primary-name"": ""vvyl`nsky"", ""given-name"": ""mrym"", ""alternative-name"": ""m`ry"", ""surname"": ""vvyl`nsky""}","[{'var': 'm`ry (mrym kats) vvyl`nsky', 'src': 'ds', 'lang': 'en'}]",['en'],,מערי,,ווילענסקי,,,,,ווילענסקי,,,,,מרים,
858,ayvva (syvv`l` baakshtyyn) vvyn,"{""given-name"": ""ayvva"", ""alternative-name"": ""syvv`l`"", ""surname"": ""vvyn""}","[{'var': 'ayvva (syvv`l` baakshtyyn) vvyn', 'src': 'ds', 'lang': 'en'}]",['en'],,סיוועלע,,ווין,,,,,,,,,,איווא,
859,(nptly-h`rts glykmaan),"{""given-name"": ""nptly"", ""surname"": ""glykman"", ""matronymic"": ""h`rts""}","[{'var': '(nptly-h`rts glykmaan)', 'src': 'ds', 'lang': 'en'}]",['en'],,,,גליקמאן,,הערץ,,,,,,,,נפתלי,
860,yvsp (vvyynshtyyn) vvynaagraadaavv,"{""given-name"": ""yvsp"", ""alternative-name"": ""vvyynshtyyn"", ""surname"": ""vvynaagraadaavv""}","[{'var': 'yvsp (vvyynshtyyn) vvynaagraadaavv', 'src': 'ds', 'lang': 'en'}]",['en'],,וויינשטיין,,ווינאָגראַדאָוו,,,,,,,,,,יוסף,
