id,title,var_entries,langs,lang,phoneme,primary-name,qualifier,patronymic,middle-name,professional-name,teknonym,matronymic,honorific,given-name,nisba,surname,alternative-name,salutation,appellation,acronym
523,maarkvs glykmaan,"[{'var': 'maarkvs glykmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,mˈæˈɑːkvz gɫa|ɪmən̩,,,,,,,,,מאַרקוס,,גליקמאַן,,,,
524,m`kh`l` glykmaan,"[{'var': 'm`kh`l` glykmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,mkl gɫa|ɪmən̩,,,,,,,,,מעכעלע,,גליקמאַן,,,,
525,`tl (glyk) glykmaan,"[{'var': '`tl (glyk) glykmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,tl̩ gɫa|ɪk gɫa|ɪmən̩,גליקמאַן,,,,,,,,עטל,,,גליק,,,
526,yaashaa gl`z`r,"[{'var': 'yaashaa gl`z`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,jæʃɑː ɡlzɜ˞,יאַשאַ גלעזער,,,,,,,,יאַשאַ,,גלעזער,,,,
527,h`ry g`byl,"[{'var': 'h`ry g`byl', 'src': 'ds', 'lang': 'en'}]",['en'],en,hɻɪ ɡbəl,הערי געבּיל,,,,,,,,הערי,,געבּיל,,,,
528,maaks (mnhm-m`nd`l g`byl,"[{'var': 'maaks (mnhm-m`nd`l g`byl', 'src': 'ds', 'lang': 'en'}]",['en'],en,mˈæeɪks nmmnl ɡbəl,,,,,,,,,מנחם-מענדעל,,געבּיל,מאַקס,,,
529,pyny` g`dvld,"[{'var': 'pyny` g`dvld', 'src': 'ds', 'lang': 'en'}]",['en'],en,pənɪ ɡdvld,,,,,,,,,פּיניע,,געדולד,,,,
530,mykhl g`lbaart,"[{'var': 'mykhl g`lbaart', 'src': 'ds', 'lang': 'en'}]",['en'],en,mˈɪkl ɡlbɑːt,,,,,,,,,מיכל,,געלבּאַרט,,,,
531,g`nyaa g`lb`r,"[{'var': 'g`nyaa g`lb`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,nɪəə ɡlbɜ˞,געניאַ געלבער,,,,,,,,געניאַ,,געלבער,,,,
532,maarys g`lb`r,"[{'var': 'maarys g`lb`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,mˈæɛ|ərɪz ɡlbɜ˞,,,,,,,,,מאָריס,,געלבער,,,,
533,aydaa g`lpaand,"[{'var': 'aydaa g`lpaand', 'src': 'ds', 'lang': 'en'}]",['en'],en,ˈeɪdə ɡlpænd,,,,,,,,,אידאַ,,געלפאַנד,,,,
534,b`rnaard g`lyng,"[{'var': 'b`rnaard g`lyng', 'src': 'ds', 'lang': 'en'}]",['en'],en,bɻnəd gɫa|ɪŋ,בּערנאַרד געלינג,,,,,,,,בערנאַרד,,געלינג,,,,
535,l`aan g`lys,"[{'var': 'l`aan g`lys', 'src': 'ds', 'lang': 'en'}]",['en'],en,lˈɑːn ɡlɪz,לעאָן געליס,,,,,,,,לעאָן,,געליס,,,,
536,m. g`l`r,"[{'var': 'm. g`l`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,m ɡlɜ˞,,,,,,,,,,,געלער,,,,מ.
537,dy g`naart` vv`lt,"[{'var': 'dy g`naart` vv`lt', 'src': 'ds', 'lang': 'en'}]",['en'],en,dɪ nj|əɑːt vlt,די גענאַרטע Welt,,,,,,,,,,,,,,
538,hyrsh g`nd`l,"[{'var': 'hyrsh g`nd`l', 'src': 'ds', 'lang': 'en'}]",['en'],en,hˈɪɻʃ ndl̩,הירש גענדעל,,,,,,,,הירש,,גענדעל,,,,
539,saalaamaan g`np`r,"[{'var': 'saalaamaan g`np`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,sˈæəlˈɑːmən̩ npɜ˞,,,,,,,,,סאָלאָמאַן,,גענפער,,,,
540,zshaan (shmval y`kb) g`tsmaan,"[{'var': 'zshaan (shmval y`kb) g`tsmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,zʃeɪn̩ ʃmvl̩ jkb ɡtsmən̩,,,,יעקב,,,,,שמואל,,געצמאַן,זשאַן,,,
541,s`m (yshral) g`rtl`r,"[{'var': 's`m (yshral) g`rtl`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,sm jʃrəl ɡɻl̩ɜ˞,גערטלער,,,,,,,,ישראל,,,סעם,,,
542,aadaalp g`rtn`r,"[{'var': 'aadaalp g`rtn`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,ˈɑːdælp ɡɻn̩ɜ˞,,,,,,,,,אַדאָלף,,גערטנער,,,,
543,b`ty g`rtn`r,"[{'var': 'b`ty g`rtn`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,btɪ ɡɻn̩ɜ˞,גערטנער,,,,,,,,בּעטי,,,,,,
544,dzsh`ny (shyyndl sht`rn) g`rtn`r,"[{'var': 'dzsh`ny (shyyndl sht`rn) g`rtn`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,dzʃnɪ ʃˈaɪɪndl̩ ʃtn ɡɻn̩ɜ˞,,,,,,,,,דזשעני,,גערטנער,שיינדל,,,
545,yaakaavv g`rtn`r,"[{'var': 'yaakaavv g`rtn`r', 'src': 'ds', 'lang': 'en'}]",['en'],en,jˈeɪkˈɑːv ɡɻn̩ɜ˞,גערטנער,,,,,,,,יאַקאָוו,,,,,,
546,a. m. g`rmaan,"[{'var': 'a. m. g`rmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,ˈeɪ m ɡɻmn̩,,,,,,,,,,,גערמאַן,,,,א. מ.
547,yshral g`rmaan,"[{'var': 'yshral g`rmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,jʃrəl ɡɻmn̩,,,,,,,,,ישראל,,גערמאַן,,,,
548,lvsy (laashaa kvtn`r) g`rmaan,"[{'var': 'lvsy (laashaa kvtn`r) g`rmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,lvzɪ lˈɑːʃɑː kvn̩ɜ˞ ɡɻmn̩,,,קוטנער,,,,,,לאָשאַ,,גערמאַן,לוסי,,,
549,mysh` (h`rmaan) g`rmaan,"[{'var': 'mysh` (h`rmaan) g`rmaan', 'src': 'ds', 'lang': 'en'}]",['en'],en,mˈɪʃ hmən̩ ɡɻmn̩,,,,,,,,,מישע,,גערמאַן,הערמאַן,,,
550,b`rtaa g`rstyn,"[{'var': 'b`rtaa g`rstyn', 'src': 'ds', 'lang': 'en'}]",['en'],en,bɻtə ɡɻsɪn,בּירטאַ גערסטין,,,,,,,,בּערטאַ,,גערסטין,,,,
551,m. (maashkaavvytsh) g`rts,"[{'var': 'm. (maashkaavvytsh) g`rts', 'src': 'ds', 'lang': 'en'}]",['en'],en,m mˈææʃkˈɑːvɪtʃ gɹts,,,,,,,,,,,גערץ,מאָשקאָוויטש,,,מ.
552,m. (mshh g`rshvyg) g`rshaay,"[{'var': 'm. (mshh g`rshvyg) g`rshaay', 'src': 'ds', 'lang': 'en'}]",['en'],en,m mʃh ɡɻʃvɪɡ ɡˈɑːʃeɪ,,,,,,,,,משה,,גערשויג,גערשאָי,,,מ.
