,id,title,lang,phoneme,personAltLabel,personDescription,birth,death,age,name_parts
628,http://www.wikidata.org/entity/Q176806,ألبرشت فون ستيرنبيرغ,ar,a:lbrʃt fawn stajrnbiːrɣ,,,1322-01-01,1380-01-22,58,"{""name_part_0"": ""a:lbrʃt"", ""name_part_1"": ""fawn"", ""name_part_2"": ""stajrnbiːrɣ""}"
629,http://www.wikidata.org/entity/Q1772324,بيدرو غوميز,ar,biːdruː ɣoːmiːz,,,1322-01-01,1374-06-10,52,"{""name_part_0"": ""biːdruː"", ""name_part_1"": ""ɣoːmiːz""}"
630,http://www.wikidata.org/entity/Q2417845,إيميلدا لامبرتيني,ar,ʔajmajldaː laːmbrteːnj,,,1322-01-01,1333-05-13,11,"{""name_part_0"": ""ʔajmajldaː"", ""name_part_1"": ""laːmbrteːnj""}"
631,http://www.wikidata.org/entity/Q551079,نيكولاس دي لوكسمبورغ,ar,neːkuːlaːs diː lwksmbwrɣ,,أسقف بوهيمي,1322-01-01,1358-07-21,36,"{""name_part_0"": ""neːkuːlaːs"", ""name_part_1"": ""diː"", ""name_part_2"": ""lwksmbwrɣ""}"
632,http://www.wikidata.org/entity/Q697880,يانغ إنريك، مارغريف مورافيا,ar,jaːnɣ ʔ|inriːk maːrɣrajf moːraːfjaː,,,1322-02-12,1375-11-12,53,"{""name_part_0"": ""jaːnɣ"", ""name_part_1"": ""ʔ|inriːk"", ""name_part_2"": ""maːrɣrajf"", ""name_part_3"": ""moːraːfjaː""}"
633,http://www.wikidata.org/entity/Q125098867,الحَفْصي,ar,ħ_fsˤj,عمر بن أبي بكر المتوكل على الله بن يحيى بن إبراهيم الحفصي,من ملوك الموحدين في تونس، قتله بعض الجند بقرب قابس بعد ولايته لعشرة أشهر و 13 يوما,1323-01-01,1347-01-01,24,"{""name_part_0"": ""ħ_fsˤj""}"
634,http://www.wikidata.org/entity/Q2667226,مارغريت من برابانت، دوقة فلاندرز,ar,maːrɣrajt mn braːbaːnt doːqɣrajt mn braːbaːnt doːʔa flaːndrz flaːndrz,,سياسية بلجيكية,1323-02-17,1380-01-01,57,"{""name_part_0"": ""maːrɣrajt"", ""name_part_1"": ""mn"", ""name_part_2"": ""braːbaːnt"", ""name_part_3"": ""doːqɣrajt"", ""name_part_4"": ""mn"", ""name_part_5"": ""braːbaːnt"", ""name_part_6"": ""doːʔa"", ""name_part_7"": ""flaːndrz"", ""name_part_8"": ""flaːndrz""}"
635,http://www.wikidata.org/entity/Q923612,آن البوهيمية,ar,ʔ|aːn aːlbwhiːmiːa,آنا اللوكسمبورغية,دوقة النمسا,1323-04-04,1338-09-11,15,"{""name_part_0"": ""ʔ|aːn"", ""name_part_1"": ""aːlbwhiːmiːa""}"
636,http://www.wikidata.org/entity/Q18715,فيليب من بورغندي، كونت أوفيرن,ar,fiːliːb mn bawrɣndiː kuːnt ʔwfjrn,فيليب من بورغندي,,1323-11-18,1346-08-18,23,"{""name_part_0"": ""fiːliːb"", ""name_part_1"": ""mn"", ""name_part_2"": ""bawrɣndiː"", ""name_part_3"": ""kuːnt"", ""name_part_4"": ""ʔwfjrn""}"
637,http://www.wikidata.org/entity/Q125098063,القَبَّاب,ar,q_b_aːb,أحمد بن قاسم بن عبد الرحمن الجذامي الفاسي,فقيه مالكي وقاضي، له مؤلفات في الفقه والتفسير,1324-01-01,1377-01-01,53,"{""name_part_0"": ""q_b_aːb""}"
638,http://www.wikidata.org/entity/Q22684471,ابن خاتمة,ar,aːbn xaːtma,,شاعر أندلسي,1324-01-01,1369-03-17,45,"{""name_part_0"": ""aːbn"", ""name_part_1"": ""xaːtma""}"
639,http://www.wikidata.org/entity/Q631524,لويس من دوراتسو,ar,loːjs mn dawraːtsoː,,سياسي إيطالي,1324-01-01,1364-07-04,40,"{""name_part_0"": ""loːjs"", ""name_part_1"": ""mn"", ""name_part_2"": ""dawraːtsoː""}"
640,http://www.wikidata.org/entity/Q239486,ديفيد الثاني ملك اسكتلندا,ar,diːfiːd aːlθaːnaj mlk aːsktlndaː,,,1324-03-05,1371-02-22,47,"{""name_part_0"": ""diːfiːd"", ""name_part_1"": ""aːlθaːnaj"", ""name_part_2"": ""mlk"", ""name_part_3"": ""aːsktlndaː""}"
641,http://www.wikidata.org/entity/Q20398076,ابن أبي حجلة التلمساني,ar,aːbn ʔbeː ħdʒlt aːltlmsaːnj,ابن أبي حجلة,,1325-01-01,1375-01-01,50,"{""name_part_0"": ""aːbn"", ""name_part_1"": ""ʔbeː"", ""name_part_2"": ""ħdʒlt"", ""name_part_3"": ""aːltlmsaːnj""}"
642,http://www.wikidata.org/entity/Q241635,إليانور من صقلية,ar,ʔljaːnwr mn sˤqlja,,,1325-01-01,1375-01-01,50,"{""name_part_0"": ""ʔljaːnwr"", ""name_part_1"": ""mn"", ""name_part_2"": ""sˤqlja""}"
643,http://www.wikidata.org/entity/Q280412,عماد الدين إسماعيل,ar,ʕmaːd aːldjn ʔsmaːʕiːl,,سلطان مملوكي,1325-01-01,1345-08-01,20,"{""name_part_0"": ""ʕmaːd"", ""name_part_1"": ""aːldjn"", ""name_part_2"": ""ʔsmaːʕiːl""}"
644,http://www.wikidata.org/entity/Q329708,متى قانتاقوزن,ar,mtaː qaːntaːqawzn,,,1325-01-01,1383-06-23,58,"{""name_part_0"": ""mtaː"", ""name_part_1"": ""qaːntaːqawzn""}"
645,http://www.wikidata.org/entity/Q788780,مارغريت من بافاريا دوقة سلافونيا,ar,maːrɣrajt mn baːfaːrajaː doːqɣrajt mn baːfaːrajaː doːʔa slaːfoːnjaː slaːfoːnjaː,,,1325-01-01,1374-01-01,49,"{""name_part_0"": ""maːrɣrajt"", ""name_part_1"": ""mn"", ""name_part_2"": ""baːfaːrajaː"", ""name_part_3"": ""doːqɣrajt"", ""name_part_4"": ""mn"", ""name_part_5"": ""baːfaːrajaː"", ""name_part_6"": ""doːʔa"", ""name_part_7"": ""slaːfoːnjaː"", ""name_part_8"": ""slaːfoːnjaː""}"
646,http://www.wikidata.org/entity/Q51170,توماسو دا مودينا,ar,tuːmaːsw daː moːdjnaː,,رسام إيطالي,1325-01-01,1379-07-24,54,"{""name_part_0"": ""tuːmaːsw"", ""name_part_1"": ""daː"", ""name_part_2"": ""moːdjnaː""}"
647,http://www.wikidata.org/entity/Q103073,هاينرش فون هيرفورد,ar,haːeːnrʃ fawn hjrfoːrd,,مؤرخ ألماني,1326-01-01,1370-10-09,44,"{""name_part_0"": ""haːeːnrʃ"", ""name_part_1"": ""fawn"", ""name_part_2"": ""hjrfoːrd""}"
648,http://www.wikidata.org/entity/Q235381,جوفانا الأولى ملكة نابولي,ar,gwfaːnaː aːlʔ|auːlaː mlkt naːbwlaj,جوفانا الأولى,ملكة وأميرة,1326-01-01,1382-05-22,56,"{""name_part_0"": ""gwfaːnaː"", ""name_part_1"": ""aːlʔ|auːlaː"", ""name_part_2"": ""mlkt"", ""name_part_3"": ""naːbwlaj""}"
649,http://www.wikidata.org/entity/Q28713196,برهان الدين القيراطي,ar,brhaːn aːldjn aːlqːn aːldjn aːlʔajraːtˤaj,إبراهيم بن عبد الله بن محمد بن عسكر بن مظفر بن بحر بن سادن بن هلال الطائي القيراطي,شاعر من أعيان القاهرة، عاش خلال العصر المملوكي,1326-01-01,1379-07-01,53,"{""name_part_0"": ""brhaːn"", ""name_part_1"": ""aːldjn"", ""name_part_2"": ""aːlqːn"", ""name_part_3"": ""aːldjn"", ""name_part_4"": ""aːlʔajraːtˤaj""}"
650,http://www.wikidata.org/entity/Q337741,فرانشيسكو جاتيلوسيو الأول,ar,fraːnʃeːskuː gaːtjloːsajoː aːlʔ|uuːl,,,1326-01-01,1384-08-14,58,"{""name_part_0"": ""fraːnʃeːskuː"", ""name_part_1"": ""gaːtjloːsajoː"", ""name_part_2"": ""aːlʔ|uuːl""}"
651,http://www.wikidata.org/entity/Q53998,لويس الأول المجري,ar,loːjs aːlʔ|uuːl aːlmʒriː,,ملك دولة المجر وكرواتيا منذ عام 1342 وماك لدولة بولندا منذ عام 1370 حتى وفاته,1326-03-13,1382-09-18,56,"{""name_part_0"": ""loːjs"", ""name_part_1"": ""aːlʔ|uuːl"", ""name_part_2"": ""aːlmʒriː""}"
652,http://www.wikidata.org/entity/Q235458,جوان الأولى، كونتيسة أوفرن,ar,gwaːn aːlʔ|auːlaː koːnteːst ʔawfrn,,,1326-05-16,1360-10-07,34,"{""name_part_0"": ""gwaːn"", ""name_part_1"": ""aːlʔ|auːlaː"", ""name_part_2"": ""koːnteːst"", ""name_part_3"": ""ʔawfrn""}"
653,http://www.wikidata.org/entity/Q519036,بياتريس من صقلية,ar,biːaːtrjs mn sˤqlja,,,1326-09-13,1365-10-20,39,"{""name_part_0"": ""biːaːtrjs"", ""name_part_1"": ""mn"", ""name_part_2"": ""sˤqlja""}"
