Unnamed: 0,id,title,lang,phoneme,personAltLabel,personDescription,birth,death,age,name_parts
1058,http://www.wikidata.org/entity/Q242336,klud muuluaa,he,klod molvʔa,,,1547-11-22,1575-03-03,28,"{""name_part_0"": ""klud"", ""name_part_1"": ""muuluaa""}"
1059,http://www.wikidata.org/entity/Q6394945,frīkhan khanum,he,friχʔn ħʔnom,,,1548-08-03,1578-02-22,30,"{""name_part_0"": ""frīkhan"", ""name_part_1"": ""khanum""}"
1060,http://www.wikidata.org/entity/Q171289,khīr-a-nīsa bgum,he,χiʁʔnisʔ bɡom,,שליטה איראנית,1549-01-01,1579-08-05,30,"{""name_part_0"": ""khīr-a-nīsa"", ""name_part_1"": ""bgum""}"
1061,http://www.wikidata.org/entity/Q457942,sbīna muīrtmbrg,he,svina moirtmvʁɡ,,,1549-07-12,1581-08-27,32,"{""name_part_0"": ""sbīna"", ""name_part_1"": ""muīrtmbrg""}"
1062,http://www.wikidata.org/entity/Q156657,ana mūstrīh mlkt sfrd,he,ʔna maostrih mlχt sfʁd,,,1549-11-12,1580-11-05,31,"{""name_part_0"": ""ana"", ""name_part_1"": ""mūstrīh"", ""name_part_2"": ""mlkt"", ""name_part_3"": ""sfrd""}"
1063,http://www.wikidata.org/entity/Q2265546,dud haḥd ʿṣr,he,dod hʔχd ʕʃʁ,דאוד חאן,מלך כארתלי,1550-01-01,1579-01-01,29,"{""name_part_0"": ""dud"", ""name_part_1"": ""haḥd"", ""name_part_2"": ""ʿṣr""}"
1064,http://www.wikidata.org/entity/Q2346224,ʾIzbla kurtza,he,ʔizvla qortza,,אלכימאית וסופרת איטלקית במאה ה-16,1550-01-01,1561-01-01,11,"{""name_part_0"": ""ʾIzbla"", ""name_part_1"": ""kurtza""}"
1065,http://www.wikidata.org/entity/Q282828,arẓbt buḍkʾI,he,ʔrzvt botskʔi,,"אשתו של קרישטוף באטורי, נסיך טרנסילבניה",1550-01-01,1581-02-15,31,"{""name_part_0"": ""arẓbt"", ""name_part_1"": ""buḍkʾI""}"
1066,http://www.wikidata.org/entity/Q2920480,ḥuan frnnds,he,ħoʔn fʁnnds,,,1550-01-01,1567-06-22,17,"{""name_part_0"": ""ḥuan"", ""name_part_1"": ""frnnds""}"
1067,http://www.wikidata.org/entity/Q7828080,alīzbt mbrūnṣuuīīg-grubnhagn,he,ʔlizvt mvraonʃoiiɡɡrvbnhʔɡn,,,1550-04-14,1586-02-11,36,"{""name_part_0"": ""alīzbt"", ""name_part_1"": ""mbrūnṣuuīīg-grubnhagn""}"
