Unnamed: 0,id,title,lang,phoneme,personAltLabel,personDescription,birth,death,age,name_parts
11,http://www.wikidata.org/entity/Q733598,msh kardawera,yid,maʃə kaʒdəvelə,"רמ""ק",די רמ״ק - איינער פון די הויפט מקובלים,1522-01-01,1570-07-07,48,"{""name_part_0"": ""msh"", ""name_part_1"": ""kardawera""}"
12,http://www.wikidata.org/entity/Q339509,ari hkdus,yid,aʒi hakdəʃ,,,1534-01-01,1572-08-04,38,"{""name_part_0"": ""ari"", ""name_part_1"": ""hkdus""}"
13,http://www.wikidata.org/entity/Q5362047,alihu bel schm fun irmaza,yid,liho bel ʃam fon jaʒmaisa,,,1536-01-01,1583-01-01,47,"{""name_part_0"": ""alihu"", ""name_part_1"": ""bel"", ""name_part_2"": ""schm"", ""name_part_3"": ""fun"", ""name_part_4"": ""irmaza""}"
14,http://www.wikidata.org/entity/Q83229,edward der zekster,yid,edvaʒd del sekstəl,,מלך פון ענגלאנד,1537-10-22,1553-07-16,16,"{""name_part_0"": ""edward"", ""name_part_1"": ""der"", ""name_part_2"": ""zekster""}"
15,http://www.wikidata.org/entity/Q166675,gearg wilhelm,yid,ɡelk vilhelm,,"עלעקטאר און מארגראוו פון בראנדנבורג, הערצאג פון פרייסן",1595-11-13,1640-12-01,45,"{""name_part_0"": ""gearg"", ""name_part_1"": ""wilhelm""}"
16,http://www.wikidata.org/entity/Q9191,rene dekart,yid,lenə dekəʒt,,,1596-03-31,1650-02-11,54,"{""name_part_0"": ""rene"", ""name_part_1"": ""dekart""}"
17,http://www.wikidata.org/entity/Q122392,iakab bernuli,yid,jakəb bəʒnoli,,,1654-12-27,1705-08-16,51,"{""name_part_0"": ""iakab"", ""name_part_1"": ""bernuli""}"
18,http://www.wikidata.org/entity/Q87093,scharl elektarfrints fun brandnburg,yid,ʃaʒl elektəʒplint pon blandnbolɡ,,,1655-02-16,1674-12-07,19,"{""name_part_0"": ""scharl"", ""name_part_1"": ""elektarfrints"", ""name_part_2"": ""fun"", ""name_part_3"": ""brandnburg""}"
19,http://www.wikidata.org/entity/Q151826,fridrikh der erster fun freisn,yid,pʒidʒiʃ del elʃtəl pon pʒejsn,,,1657-07-11,1713-02-25,56,"{""name_part_0"": ""fridrikh"", ""name_part_1"": ""der"", ""name_part_2"": ""erster"", ""name_part_3"": ""fun"", ""name_part_4"": ""freisn""}"
20,http://www.wikidata.org/entity/Q5750050,khzkih silua,yid,ʃaskiə silvə,,,1659-01-01,1698-01-01,39,"{""name_part_0"": ""khzkih"", ""name_part_1"": ""silua""}"
21,http://www.wikidata.org/entity/Q244519,tsbi hirs askhnzi,yid,tsbi hilʃ iʃnsi,,,1660-01-01,1718-05-03,58,"{""name_part_0"": ""tsbi"", ""name_part_1"": ""hirs"", ""name_part_2"": ""askhnzi""}"
22,http://www.wikidata.org/entity/Q2908900,ihudh hkhsid,yid,jahodə haʃsid,,"פוילישער רב, האט זיך באזעצט אין ירושלים",1660-01-01,1700-10-17,40,"{""name_part_0"": ""ihudh"", ""name_part_1"": ""hkhsid""}"
23,http://www.wikidata.org/entity/Q130812,maria di tsweite fun england,yid,maʒjə di tvejtə pon eŋland,,,1662-05-10,1695-01-07,33,"{""name_part_0"": ""maria"", ""name_part_1"": ""di"", ""name_part_2"": ""tsweite"", ""name_part_3"": ""fun"", ""name_part_4"": ""england""}"
24,http://www.wikidata.org/entity/Q4684792, ,yid,adliaən foli,,,1664-01-01,1701-01-01,37,"{""name_part_0"": """", ""name_part_1"": """"}"
25,http://www.wikidata.org/entity/Q1686098,ikhial mikhl fun zlatshaw,yid,jiʃjal miʃl pon slatəv,,,1725-01-01,1781-01-01,56,"{""name_part_0"": ""ikhial"", ""name_part_1"": ""mikhl"", ""name_part_2"": ""fun"", ""name_part_3"": ""zlatshaw""}"
26,http://www.wikidata.org/entity/Q7220725,tsbi hers zun funem bel schm tub,yid,tsbi heʒʃ son ponəm bel ʃam tov,,,1725-01-01,1779-12-12,54,"{""name_part_0"": ""tsbi"", ""name_part_1"": ""hers"", ""name_part_2"": ""zun"", ""name_part_3"": ""funem"", ""name_part_4"": ""bel"", ""name_part_5"": ""schm"", ""name_part_6"": ""tub""}"
27,http://www.wikidata.org/entity/Q1351984,schmual schmelka hurwits,yid,ʃmoəl ʃmelkə hoʒvit,,,1726-01-01,1778-04-28,52,"{""name_part_0"": ""schmual"", ""name_part_1"": ""schmelka"", ""name_part_2"": ""hurwits""}"
28,http://www.wikidata.org/entity/Q7324,dzseims kuk,yid,disʃejms kok,,,1728-10-27,1779-02-14,51,"{""name_part_0"": ""dzseims"", ""name_part_1"": ""kuk""}"
29,http://www.wikidata.org/entity/Q76997,msh mendlsan,yid,maʃə mendlsən,משה מענדלסאהן,באקאנטער דייטשער משכיל,1729-09-06,1786-01-04,57,"{""name_part_0"": ""msh"", ""name_part_1"": ""mendlsan""}"
30,http://www.wikidata.org/entity/Q2857943,ahrn fun karlin,yid,əhaʒn pon kalin,רבי אהרן הגדול,רבי אהרן קארלינער,1736-01-01,1771-01-01,35,"{""name_part_0"": ""ahrn"", ""name_part_1"": ""fun"", ""name_part_2"": ""karlin""}"
31,http://www.wikidata.org/entity/Q2874500,abrhm hmlakh,yid,abləm hamləʃ,,,1739-01-01,1776-09-25,37,"{""name_part_0"": ""abrhm"", ""name_part_1"": ""hmlakh""}"
